,0,1,2,3,4
188,000252,JSCCJXXYCZZQA,景顺长城景兴信用纯债债券A,债券型-长债,JINGSHUNCHANGCHENGJINGXINGXINYONGCHUNZHAIZHAIQUANA
189,000253,JSCCJXXYCZZQC,景顺长城景兴信用纯债债券C,债券型-长债,JINGSHUNCHANGCHENGJINGXINGXINYONGCHUNZHAIZHAIQUANC
190,000254,CCDKZA,长城定开债A,债券型-长债,CHANGCHENGDINGKAIZHAIA
191,000255,CCDKZC,长城定开债C,债券型-长债,CHANGCHENGDINGKAIZHAIC
192,000259,NYQJSYHH,农银区间收益混合,混合型-灵活,NONGYINQUJIANSHOUYIHUNHE
193,000263,GYXXCYHHA,工银信息产业混合A,混合型-偏股,GONGYINXINXICHANYEHUNHEA
194,000264,BSNXZZHHA,博时内需增长混合A,混合型-灵活,BOSHINEIXUZENGZHANGHUNHEA
195,000265,YFDHJTL1NDKZA,易方达恒久添利1年定开债A,债券型-长债,YIFANGDAHENGJIUTIANLI1NIANDINGKAIZHAIA
196,000266,YFDHJTL1NDKZC,易方达恒久添利1年定开债C,债券型-长债,YIFANGDAHENGJIUTIANLI1NIANDINGKAIZHAIC
197,000267,GFJLYNDKZA,广发集利一年定开债A,债券型-长债,GUANGFAJILIYINIANDINGKAIZHAIA
198,000268,GFJLYNDKZC,广发集利一年定开债C,债券型-长债,GUANGFAJILIYINIANDINGKAIZHAIC
199,000270,JXLHPZHH,建信灵活配置混合,混合型-灵活,JIANXINLINGHUOPEIZHIHUNHE
200,000271,ZYDKZA,中邮定开债A,债券型-长债,ZHONGYOUDINGKAIZHAIA
201,000272,ZYDKZC,中邮定开债C,债券型-长债,ZHONGYOUDINGKAIZHAIC
202,000273,HRYDAXLHPZHHA,华润元大安鑫灵活配置混合A,混合型-灵活,HUARUNYUANDAANXINLINGHUOPEIZHIHUNHEA
203,000274,GFYTZGSYZQDIIA,广发亚太中高收益债(QDII)A,QDII,GUANGFAYATAIZHONGGAOSHOUYIZHAIQDIIA
204,000275,GFYTZGSYZMYXHQDIIA,广发亚太中高收益债美元现汇(QDII)A,QDII,GUANGFAYATAIZHONGGAOSHOUYIZHAIMEIYUANXIANHUIQDIIA
205,000277,BSSYXDQZFZQ,博时双月薪定期支付债券,债券型-长债,BOSHISHUANGYUEXINDINGQIZHIFUZHAIQUAN
